Species,Parity
Tropidophorus_murphyi,2
Tropidophorus_baviensis,2
Tropidophorus_hainanus,2
Tropidophorus_misaminius,2
Tropidophorus_partelloi,2
Tropidophorus_brookei,2
Tropidophorus_beccarii,2
Tropidophorus_baconi,2
Tropidophorus_grayi,2
Tropidophorus_microlepis,2
Tropidophorus_cocincinensis,2
Isopachys_anguinoides,2
Lipinia_vittigera,1
Sphenomorphus_melanopogon,1
Sphenomorphus_muelleri,1
Sphenomorphus_jobiensis,1
Sphenomorphus_concinnatus,2
Sphenomorphus_solomonis,1
Sphenomorphus_leptofasciatus,2
Sphenomorphus_cranei,1
Sphenomorphus_jagori,1
Larutia_seribuatensis,1
Sphenomorphus_indicus,2
Sphenomorphus_sabanus,1
Sphenomorphus_multisquamatus,1
Asymblepharus_sikimmensis,1
Scincella_lateralis,1
Sphenomorphus_assatus,1
Sphenomorphus_cherriei,1
Prasinohaema_virens,1
Lipinia_pulchella,1
Papuascincus_stanleyanus,1
Lipinia_noctua,2
Sphenomorphus_arborens,1
Eulamprus_frerei,2
Nangura_spinosa,2
Calyptotis_lepidorostrum,1
Calyptotis_ruficauda,1
Calyptotis_scutirostrum,1
Gnypetoscincus_queenslandiae,2
Eulamprus_amplus,2
Eulamprus_tenuis,2
Eulamprus_tigrinus,2
Eulamprus_martini,2
Eulamprus_brachyosoma,2
Eulamprus_sokosoma,2
Eulamprus_luteilateralis,2
Eulamprus_murrayi,2
Eulamprus_tryoni,2
Ophioscincus_truncatus,1
Coeranoscincus_reticulatus,1
Ophioscincus_ophioscincus,1
Anomalopus_swansoni,2
Anomalopus_mackayi,1
Anomalopus_leuckartii,1
Anomalopus_verreauxi,1
Glaphyromorphus_punctulatus,1
Glaphyromorphus_cracens,1
Glaphyromorphus_pumilus,1
Glaphyromorphus_fuscicaudis,1
Glaphyromorphus_mjobergi,1
Glaphyromorphus_darwiniensis,1
Eulamprus_leuraensis,2
Eulamprus_quoyii,2
Eulamprus_kosciuskoi,2
Eulamprus_tympanum,2
Eulamprus_heatwolei,2
Eremiascincus_fasciolatus,1
Glaphyromorphus_pardalis,1
Eremiascincus_richardsonii,1
Glaphyromorphus_isolepis,1
Glaphyromorphus_douglasi,1
Glaphyromorphus_gracilipes,2
Hemiergis_decresiensis,2
